,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2023-09-10,1,ARI,@,WAS,L,16,20,21,30,132,0,0,78.7,3,3,-3,0
1,2023-09-17,2,ARI,,NYG,L,28,31,21,31,228,1,0,99.9,0,3,41,1
2,2023-09-24,3,ARI,,DAL,W,28,16,17,21,189,1,0,120.0,2,6,55,0
3,2023-10-01,4,ARI,@,SFO,L,16,35,28,41,265,2,0,102.2,1,12,48,0
4,2023-10-08,5,ARI,,CIN,L,20,34,15,32,166,2,2,57.6,3,3,1,0
5,2023-10-15,6,ARI,@,LAR,L,9,26,21,41,235,0,1,58.5,2,7,47,0
6,2023-10-22,7,ARI,@,SEA,L,10,20,19,33,146,0,0,68.5,4,7,43,1
7,2023-10-29,8,ARI,,BAL,L,24,31,25,37,208,2,2,77.3,2,6,26,1
8,2023-11-05,9,MIN,@,ATL,W,31,28,20,30,158,2,0,101.8,3,7,66,1
