,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2023-09-10,1,GNB,@,CHI,W,38,20,15,27,245,3,0,123.2,1,3,12,0
1,2023-09-17,2,GNB,@,ATL,L,24,25,14,25,151,3,0,113.5,1,2,23,0
2,2023-09-24,3,GNB,,NOR,W,18,17,22,44,259,1,1,66.4,1,9,39,1
3,2023-09-28,4,GNB,,DET,L,20,34,23,36,246,1,2,69.9,5,2,-2,1
4,2023-10-09,5,GNB,@,LVR,L,13,17,16,30,182,0,3,32.2,2,2,37,0
5,2023-10-22,7,GNB,@,DEN,L,17,19,21,31,180,2,1,90.8,0,3,21,0
6,2023-10-29,8,GNB,,MIN,L,10,24,24,41,229,1,1,72.1,4,4,34,0
7,2023-11-05,9,GNB,,LAR,W,20,3,20,26,228,1,0,115.5,4,4,7,0
