,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2023-09-10,1,DEN,,LVR,L,16,17,27,34,177,2,0,108.0,2,1,1,0
1,2023-09-17,2,DEN,,WAS,L,33,35,18,32,308,3,1,107.3,7,6,56,0
2,2023-09-24,3,DEN,@,MIA,L,20,70,23,38,306,1,1,83.9,1,0,0,0
3,2023-10-01,4,DEN,@,CHI,W,31,28,21,28,223,3,0,133.5,1,4,13,0
4,2023-10-08,5,DEN,,NYJ,L,21,31,20,31,196,2,0,103.7,4,7,49,0
5,2023-10-12,6,DEN,@,KAN,L,8,19,13,22,95,1,2,46.6,4,4,31,0
6,2023-10-22,7,DEN,,GNB,W,19,17,20,29,194,1,0,98.9,1,1,21,0
7,2023-10-29,8,DEN,,KAN,W,24,9,12,19,114,3,0,119.3,6,8,30,0
