,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2023-09-10,1,IND,,JAX,L,21,31,0,2,0,0,0,39.6,0,0,0,0
1,2023-09-17,2,IND,@,HOU,W,31,20,19,23,171,1,0,112.1,0,2,3,0
2,2023-09-24,3,IND,@,BAL,W,22,19,27,44,227,1,0,82.3,5,0,0,0
3,2023-10-08,5,IND,,TEN,W,23,16,11,14,155,0,0,112.8,0,2,1,0
4,2023-10-15,6,IND,@,JAX,L,20,37,33,55,329,1,3,60.3,3,2,4,0
5,2023-10-22,7,IND,,CLE,L,38,39,15,23,305,2,1,119.4,4,3,29,2
6,2023-10-29,8,IND,,NOR,L,27,38,23,41,213,2,1,76.6,2,1,3,0
7,2023-11-05,9,IND,@,CAR,W,27,13,17,26,127,1,0,89.7,1,5,5,0
