,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-11-27,12,HOU,@,MIA,L,15,30,26,39,215,1,2,67.8,5,4,12,0
1,2022-12-04,13,HOU,,CLE,L,14,27,20,39,201,1,2,53.5,0,2,1,0
