,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2023-09-10,1,TAM,@,MIN,W,20,17,21,34,173,2,0,94.4,1,8,11,0
1,2023-09-17,2,TAM,,CHI,W,27,17,26,34,317,1,0,114.5,0,6,17,0
2,2023-09-25,3,TAM,,PHI,L,11,25,15,25,146,1,1,73.1,2,1,2,0
3,2023-10-01,4,TAM,@,NOR,W,26,9,25,32,246,3,1,116.9,1,8,31,0
4,2023-10-15,6,TAM,,DET,L,6,20,19,37,206,0,1,56.8,1,2,6,0
5,2023-10-22,7,TAM,,ATL,L,13,16,27,42,275,1,1,81.0,3,3,32,0
6,2023-10-26,8,TAM,@,BUF,L,18,24,25,42,237,2,0,91.1,3,3,19,0
7,2023-11-05,9,TAM,@,HOU,L,37,39,21,30,265,2,0,119.4,2,4,4,0
