,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-08,1,LAR,,BUF,L,10,31,29,41,240,1,3,63.1,7,1,2,0
1,2022-09-18,2,LAR,,ATL,W,31,27,27,36,272,3,2,100.7,1,0,0,0
2,2022-09-25,3,LAR,@,ARI,W,20,12,18,25,249,0,0,103.6,1,3,2,0
3,2022-10-03,4,LAR,@,SFO,L,9,24,32,48,254,0,1,71.0,7,2,6,0
4,2022-10-09,5,LAR,,DAL,L,10,22,28,42,308,1,1,86.2,5,0,0,0
5,2022-10-16,6,LAR,,CAR,W,24,10,26,33,253,1,1,96.1,1,2,-3,0
6,2022-10-30,8,LAR,,SFO,L,14,31,22,33,187,1,0,91.4,2,2,-1,1
7,2022-11-06,9,LAR,@,TAM,L,13,16,13,27,165,1,0,80.0,4,2,-1,0
8,2022-11-20,11,LAR,@,NOR,L,20,27,11,18,159,2,0,126.9,1,1,4,0
